DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan-21,-0.19996,-0.3565,-0.95857,-0.16476,-0.09066,0.40083,0.31064,0.31453,0.19879,0.24674,0.4949,0.87298,1.04135,1.0295,1.1323,1.42348,1.01673,1.11023,1.23173,1.43857,1.361,1.51978,1.52758,1.47336,1.33373,1.33173,1.3343,1.36528,1.48293,1.46918,1.35173,1.31847,1.29998,1.45191,1.44422,1.8013,1.66362,1.65769,1.58062,1.58536,1.54864,1.69654,1.65805,1.72237,1.71006,1.85781,1.80189,1.67258
Feb-21,1.00827,0.49307,0.2998,-0.45077,0.23795,0.27709,0.71319,0.6201,0.58883,0.44469,0.4508,0.70685,1.05027,1.18253,1.17728,1.2599,1.52243,1.15999,1.24568,1.35282,1.54316,1.48581,1.65612,1.67518,1.61795,1.46478,1.45664,1.44837,1.47918,1.60073,1.59081,1.47427,1.45132,1.44024,1.5873,1.58384,1.9405,1.78895,1.76819,1.68347,1.68874,1.66528,1.80534,1.7673,1.82777,1.82371,1.96966,1.92194
Mar-21,0.90941,1.14576,0.85418,0.64229,0.04528,0.56116,0.59115,0.91338,0.83497,0.81218,0.68264,0.68693,0.88099,1.15943,1.25382,1.24872,1.31862,1.55515,1.24384,1.31135,1.39836,1.55538,1.52348,1.67059,1.69208,1.65041,1.50644,1.51958,1.50821,1.53331,1.64606,1.62843,1.52157,1.49151,1.48878,1.62119,1.60348,1.90034,1.77439,1.77501,1.70439,1.71223,1.68956,1.8163,1.79412,1.85698,1.85685,1.99461
Apr-21,-0.48514,0.33467,0.72883,0.47421,0.33007,-0.18035,0.33218,0.37006,0.7224,0.66383,0.65108,0.50865,0.52712,0.7249,1.0443,1.1538,1.14902,1.23719,1.49181,1.13277,1.2097,1.29724,1.46975,1.43854,1.59455,1.62396,1.58413,1.44759,1.45757,1.45614,1.48208,1.60356,1.58336,1.47133,1.44067,1.43187,1.57694,1.55565,1.88336,1.75256,1.7593,1.686,1.68751,1.6641,1.80384,1.78093,1.84901,1.84539
May-21,0.25232,-0.07663,0.35099,0.65522,0.4265,0.33261,-0.09927,0.35505,0.38992,0.71513,0.66452,0.66396,0.53592,0.53508,0.72364,1.03968,1.14094,1.11182,1.20718,1.448,1.09704,1.17658,1.26342,1.43834,1.41139,1.5576,1.59219,1.55128,1.41994,1.42194,1.42976,1.45119,1.58287,1.57963,1.47042,1.44139,1.44379,1.59017,1.57334,1.89536,1.78614,1.80775,1.72305,1.7242,1.68748,1.83421,1.813,1.88946
Jun-21,-0.28654,-0.10432,-0.33676,0.08587,0.44203,0.27168,0.21116,-0.19708,0.2238,0.27094,0.59796,0.55922,0.53711,0.40847,0.41468,0.60622,0.92458,1.0424,1.02372,1.12279,1.36569,1.00444,1.08915,1.17846,1.35781,1.32373,1.4705,1.49852,1.46314,1.34689,1.31866,1.33351,1.36232,1.49821,1.49462,1.39016,1.36192,1.35654,1.50595,1.49334,1.83062,1.71837,1.71978,1.64526,1.64604,1.60746,1.75587,1.73994
Jul-21,1.75961,1.08091,0.94464,0.56407,0.7886,1.01388,0.84578,0.73656,0.33376,0.7035,0.71703,1.00303,0.94497,0.95118,0.8062,0.80139,0.97246,1.27973,1.33204,1.3203,1.39406,1.61883,1.28052,1.35959,1.43455,1.61717,1.60607,1.76356,1.80503,1.77434,1.59945,1.56303,1.55439,1.57769,1.72808,1.71827,1.60226,1.57253,1.57642,1.72939,1.71833,2.05459,1.92139,1.92255,1.83566,1.83095,1.80037,1.94974
Aug-21,1.07128,1.7682,1.2949,1.21648,0.84361,1.10942,1.27682,1.07106,0.98025,0.58274,0.91597,0.93832,1.20047,1.12879,1.15111,1.0023,0.98942,1.14809,1.46428,1.48707,1.4586,1.51449,1.72804,1.40086,1.47717,1.55245,1.73195,1.71246,1.86288,1.91647,1.88438,1.70661,1.66922,1.65256,1.67225,1.822,1.80125,1.68732,1.65895,1.66289,1.81299,1.80083,2.12587,1.99614,1.95499,1.87061,1.85788,1.83237
Sep-21,0.41039,0.8902,1.46616,1.18358,1.16442,0.87527,1.05931,1.20136,1.04357,0.99076,0.6447,0.94244,0.95987,1.17599,1.11515,1.13311,1.00133,0.9916,1.13468,1.41111,1.45033,1.43443,1.48351,1.67974,1.38246,1.45481,1.53028,1.69575,1.69596,1.83197,1.88335,1.84969,1.6857,1.65837,1.65057,1.67952,1.82443,1.79783,1.68761,1.66172,1.66539,1.81106,1.79727,2.10748,1.99042,1.9329,1.8575,1.83725
Oct-21,0.10642,0.24727,0.78656,1.38532,1.12093,1.0963,0.84411,1.03016,1.16622,1.0195,0.95698,0.61636,0.92065,0.93559,1.1522,1.09541,1.11606,0.98335,0.97176,1.12035,1.39272,1.43447,1.41331,1.45481,1.64283,1.35094,1.42711,1.50774,1.6734,1.67251,1.80126,1.85186,1.82553,1.66748,1.63402,1.62704,1.65737,1.79987,1.77552,1.66472,1.6415,1.64259,1.79115,1.78624,2.09557,1.99557,1.93346,1.85827
