"","Species","year","month","tcrit_safety","T50_safety","T95_safety","tcrit_safety_air","T50_safety_air","T95_safety_air"
"1","Acer saccharum",2022,"6",8.47281012658228,12.960578613929,16.9015845161264,8.37281012658228,12.860578613929,16.8015845161264
"2","Acer saccharum",2022,"7",7.25329380012925,13.6940485336672,19.388574892382,7.15329380012925,13.5940485336672,19.288574892382
"3","Acer saccharum",2023,"6",0.206037974683546,5.73297912217481,10.6840922735226,5.40603797468355,10.9329791221748,15.8840922735226
"4","Acer saccharum",2023,"7",0.176983636924978,6.00019853070822,10.7953959626154,5.37698363692498,11.2001985307082,15.9953959626154
"5","Liquidambar styraciflua",2022,"6",7.03325316455696,15.885991531016,23.835650393291,4.63325316455696,13.485991531016,21.435650393291
"6","Liquidambar styraciflua",2022,"7",9.66896202531646,17.8289920146564,25.0688719899161,7.26896202531646,15.4289920146564,22.6688719899161
"7","Liquidambar styraciflua",2023,"6",6.5813417721519,11.4226473417824,15.7781404591286,6.9813417721519,11.8226473417824,16.1781404591286
"8","Liquidambar styraciflua",2023,"7",4.02017721518987,12.9141576286322,20.9191073055529,4.42017721518988,13.3141576286322,21.3191073055529
"9","Celtis laevigata",2022,"6",5.90593670886076,13.2927147578147,19.8691851305139,5.90593670886076,13.2927147578147,19.8691851305139
"10","Celtis laevigata",2022,"7",8.95139240506329,14.3011224179611,18.9702105126741,8.95139240506329,14.3011224179611,18.9702105126741
"11","Celtis laevigata",2023,"6",3.7486582278481,11.7366592191075,18.7757613624609,4.14865822784811,12.1366592191075,19.1757613624609
"12","Celtis laevigata",2023,"7",5.66508860759494,11.7405546382152,17.0873501541953,6.06508860759494,12.1405546382152,17.4873501541953
"13","Juglans nigra",2022,"6",4.90296202531646,14.4311005306169,22.8271360758645,3.60296202531646,13.1311005306169,21.5271360758645
"14","Juglans nigra",2022,"7",9.9082265746377,16.0532107750263,21.4333385371564,8.6082265746377,14.7532107750263,20.1333385371564
"15","Juglans nigra",2023,"6",5.61947010301441,8.98743355277967,11.8564411839809,8.11947010301441,11.4874335527797,14.3564411839809
"16","Juglans nigra",2023,"7",4.66301463686868,10.2611040478501,15.0132569290383,7.16301463686868,12.7611040478501,17.5132569290383
"17","Ostrya virginiana",2022,"6",3.8519746835443,10.3871179686095,16.0848574160272,5.55197468354431,12.0871179686095,17.7848574160272
"18","Ostrya virginiana",2022,"7",7.86946835443038,11.2348733690685,14.0960725751235,9.56946835443038,12.9348733690685,15.7960725751235
"19","Ostrya virginiana",2023,"6",-0.259305664653543,5.24570488885944,10.3619444428842,2.14069433534646,7.64570488885944,12.7619444428842
"20","Ostrya virginiana",2023,"7",-0.775835328999888,6.94357672124743,13.8338464542138,1.62416467100012,9.34357672124744,16.2338464542138
"21","Prunus serotina",2022,"6",2.44069620253164,11.3557411067073,19.726231404134,3.74069620253165,12.6557411067073,21.026231404134
"22","Prunus serotina",2022,"7",6.0751739080853,11.9543724303332,17.4124363571407,7.3751739080853,13.2543724303332,18.7124363571407
"23","Prunus serotina",2023,"6",2.65244577316965,10.0412574593772,17.4785589679768,3.85244577316965,11.2412574593772,18.6785589679768
"24","Prunus serotina",2023,"7",9.60320645701936,14.0586024838644,17.3838970508455,10.8032064570194,15.2586024838644,18.5838970508455
"25","Quercus montana",2022,"6",2.06297563386171,11.6250026655559,20.3157250561674,5.06297563386171,14.6250026655559,23.3157250561674
"26","Quercus montana",2022,"7",1.96746835443038,11.0522810278171,18.9952631017433,4.96746835443038,14.0522810278171,21.9952631017433
"27","Quercus montana",2023,"6",-3.42153164556962,5.54863539764358,13.4758552732659,3.57846835443038,12.5486353976436,20.4758552732659
"28","Quercus montana",2023,"7",-2.5042911392405,6.161962744769,13.6881090684341,4.4957088607595,13.161962744769,20.6881090684341
"29","Quercus falcata",2022,"6",0.753316455696201,8.23945022986111,15.1136015478127,7.5533164556962,15.0394502298611,21.9136015478127
"30","Quercus falcata",2022,"7",-1.61235443037975,10.3806001798557,21.0388723903636,5.18764556962026,17.1806001798557,27.8388723903636
"31","Quercus falcata",2023,"6",-4.81508860759494,6.91688317675484,17.0187398282085,0.384911392405067,12.1168831767548,22.2187398282085
"32","Quercus falcata",2023,"7",1.2823012886304,10.8258753048747,18.808898809873,6.48230128863041,16.0258753048747,24.008898809873
"33","Fagus grandifolia",2022,"6",-0.979835443037971,6.62241458883966,13.3937231592343,5.42016455696203,13.0224145888397,19.7937231592343
"34","Fagus grandifolia",2022,"7",2.64864556962026,7.49088652866203,11.8142530865633,9.04864556962026,13.890886528662,18.2142530865633
"35","Fagus grandifolia",2023,"6",0.0619367088607603,5.4286428665937,10.5920767709921,2.76193670886076,8.1286428665937,13.2920767709921
"36","Fagus grandifolia",2023,"7",3.24858227848101,8.76137749194816,14.1170346761313,5.94858227848102,11.4613774919482,16.8170346761313
"37","Liriodendron tulipifera",2022,"6",-1.06992405063291,6.2679366604416,12.7757291878007,4.53007594936709,11.8679366604416,18.3757291878007
